offense_desc,latitude,longitude,lat_long
KIDNAPPING & RELATED OFFENSES,40.837323511,-73.919830757,(40.837323511, -73.919830757)
KIDNAPPING & RELATED OFFENSES,40.692681179,-73.990914183,(40.692681179, -73.990914183)
KIDNAPPING & RELATED OFFENSES,40.691534166,-73.996323331,(40.691534166, -73.996323331)
KIDNAPPING & RELATED OFFENSES,40.816597607,-73.953924166,(40.816597607, -73.953924166)
KIDNAPPING & RELATED OFFENSES,40.680399232,-73.8799887,(40.680399232, -73.8799887)
KIDNAPPING & RELATED OFFENSES,40.662453171,-73.949362905,(40.662453171, -73.949362905)
KIDNAPPING & RELATED OFFENSES,40.678294611,-73.883262479,(40.678294611, -73.883262479)
KIDNAPPING & RELATED OFFENSES,40.834061516,-73.914240647,(40.834061516, -73.914240647)
KIDNAPPING & RELATED OFFENSES,40.798618991,-73.952275183,(40.798618991, -73.952275183)
KIDNAPPING & RELATED OFFENSES,40.856334596,-73.872430539,(40.856334596, -73.872430539)
KIDNAPPING & RELATED OFFENSES,40.716042096,-73.765445958,(40.716042096, -73.765445958)
KIDNAPPING & RELATED OFFENSES,40.688665599,-73.795615054,(40.688665599, -73.795615054)
KIDNAPPING & RELATED OFFENSES,40.838612247,-73.830050946,(40.838612247, -73.830050946)
KIDNAPPING & RELATED OFFENSES,40.767070824,-73.828197411,(40.767070824, -73.828197411)
KIDNAPPING & RELATED OFFENSES,40.680939468,-73.738838715,(40.680939468, -73.738838715)
KIDNAPPING & RELATED OFFENSES,40.676337363,-73.86546354,(40.676337363, -73.86546354)
KIDNAPPING & RELATED OFFENSES,40.637804468,-73.942377197,(40.637804468, -73.942377197)
KIDNAPPING & RELATED OFFENSES,40.668883767,-73.932505719,(40.668883767, -73.932505719)
KIDNAPPING & RELATED OFFENSES,40.69633231,-73.975940516,(40.69633231, -73.975940516)
KIDNAPPING & RELATED OFFENSES,40.821627397,-73.917237434,(40.821627397, -73.917237434)
KIDNAPPING & RELATED OFFENSES,40.827871665,-73.864958422,(40.827871665, -73.864958422)
KIDNAPPING & RELATED OFFENSES,40.658845109,-73.880596944,(40.658845109, -73.880596944)
KIDNAPPING & RELATED OFFENSES,40.754989552,-73.844434938,(40.754989552, -73.844434938)
KIDNAPPING & RELATED OFFENSES,40.624502775,-73.91509349,(40.624502775, -73.91509349)
KIDNAPPING & RELATED OFFENSES,40.681967344,-73.982367054,(40.681967344, -73.982367054)
KIDNAPPING & RELATED OFFENSES,40.650723284,-73.914479911,(40.650723284, -73.914479911)
KIDNAPPING & RELATED OFFENSES,40.825291812,-73.917540002,(40.825291812, -73.917540002)
KIDNAPPING & RELATED OFFENSES,40.806309147,-73.921222692,(40.806309147, -73.921222692)
KIDNAPPING & RELATED OFFENSES,40.67972993,-73.837807178,(40.67972993, -73.837807178)
KIDNAPPING & RELATED OFFENSES,40.862758367,-73.904934062,(40.862758367, -73.904934062)
KIDNAPPING & RELATED OFFENSES,40.654952417,-73.958000222,(40.654952417, -73.958000222)
KIDNAPPING & RELATED OFFENSES,40.861186817,-73.90635708,(40.861186817, -73.90635708)
KIDNAPPING & RELATED OFFENSES,40.762857267,-73.874750224,(40.762857267, -73.874750224)
KIDNAPPING & RELATED OFFENSES,40.86436046,-73.824612701,(40.86436046, -73.824612701)
KIDNAPPING & RELATED OFFENSES,40.730844578,-74.005658984,(40.730844578, -74.005658984)
KIDNAPPING & RELATED OFFENSES,40.644726131,-74.077483159,(40.644726131, -74.077483159)
KIDNAPPING & RELATED OFFENSES,40.689447804,-73.990467493,(40.689447804, -73.990467493)
KIDNAPPING & RELATED OFFENSES,40.73207216,-73.813869293,(40.73207216, -73.813869293)
KIDNAPPING & RELATED OFFENSES,40.846883343,-73.908759117,(40.846883343, -73.908759117)
KIDNAPPING & RELATED OFFENSES,40.711027123,-73.816716314,(40.711027123, -73.816716314)
KIDNAPPING & RELATED OFFENSES,40.732262379,-73.809344071,(40.732262379, -73.809344071)
KIDNAPPING & RELATED OFFENSES,40.688749087,-73.778436506,(40.688749087, -73.778436506)
KIDNAPPING & RELATED OFFENSES,40.845845996,-73.825492821,(40.845845996, -73.825492821)
KIDNAPPING & RELATED OFFENSES,40.603058776,-73.995690785,(40.603058776, -73.995690785)
KIDNAPPING & RELATED OFFENSES,40.68453746,-73.869099491,(40.68453746, -73.869099491)
KIDNAPPING & RELATED OFFENSES,40.604301001,-73.960643014,(40.604301001, -73.960643014)
KIDNAPPING & RELATED OFFENSES,40.809874177,-73.938688074,(40.809874177, -73.938688074)
KIDNAPPING & RELATED OFFENSES,,,
